File name,contents,tokens
learning walks_main.docx part42," Apple trees under attack by caterpillars can release chemicals that attract caterpillar-eating birds ExperimentLet’s measure how tall a tree is! Here is how we can do it! Bend over and see if you can see the top of a tree.If you can’t see the top, keep moving away from the tree until you can.When you can see the top, you are just as far away from the tree as its height isImaginariumThere are all sorts of unusual trees in the world. Can you come up with your own unusual tree? Maybe chocolate muffins grow on it instead of fruit? Or it’s a glass tree, or one with Christmas toys growing on it? Then you can make a prototype with legos, play dough, or draw one. Please email us pictures, we love to see your work!Remember we talked about Giant sequoias that have been around for centuries? Some pine trees around us have been around for a very long time too. Life was very different back then: people were riding horses and carriages, farming their land, and making their own clothes. Can you imagine if trees could see everything around them and could talk? What kind of stories do you think they could tell us about those times? Or about animals around them? How would they communicate with each other? Would their voices change over time as they grow and get older like people’s voices?Books to read“Why Evergreen Trees Keep Their Leaves” by Lois Walker – Encourage your child to show his emotions as the story is told. Tell her that it is okay to frown or look angry or upset when trees act mean towards the little bird",356
learning walks_main.docx part43," It is also fine to look happy and joyful when the evergreen trees help the little bird. This way we are working on Emotional Intellect and developing self-reflection!“The Giving Tree” by Shell Silverstein - Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave. This is a tender story, touched with sadness, and filled with teachable moments allowing you to talk to your kids about giving and taking , sadness that we feel for the tree, and so much more.“Tree Full of Wonder” by Anne Smithers - Lovely rhyme, vibrant colors, educational and unique picture book showing the unbreakable bond between people and trees and teaching kids how to protect them and why it matters",195
learning walks_main.docx part44,"“Trees – Part 2: Sticks, Twigs, and Change” Walk 7            Before the walk: Today we’ll be observing the trees again, but rather at a different angle. We know that everything around us belongs to different systems. For example, an organization consists of multiple departments or branches, and evolves over time. Seeing things around us from this perspective is called systemic thinking. It allows us to understand how parts of a whole are interconnected and can affect each other. Systemic thinking requires multiple skill sets to establish a holistic view of a system and explain its behavior. It enables people to gain significantly deeper insights into challenging situations and complex domains, and it’s something we can help our kids develop starting early on. We’ll start today by looking at different objects and exploring what they were in the past, where they came from, and what they might become in the future",195
learning walks_main.docx part45," The question “what was this stick before?” is simple, yet it helps us pause and see things through a different perspective and think about the past and the future. Let’s begin!Find a stick on your walk and ask your child what it used to be. First, agree that it used to be a tree. Now you can locate a tree you think it came from, or if there aren’t trees around, come up with a little story about this stick and how it ended up on the ground. Maybe a bird carried it here, or strong wind, or maybe a puppy was playing with it at the park next door and didn’t want to leave it behind? Take a close look at it, use your magnifying glass. Compare it to the branches from the trees around you – does it look like one of them? Ask what would cause the tree branches to fall off Try to break the stick. If you can find several sticks to try and break them, it would be great. Note that some sticks will break much easier than others that you can bend, but they still won’t break easily",233
learning walks_main.docx part46," Ask: “What do you think helps it stay stronger?” Now try to imagine what this stick can become in the future. People use sticks and twigs to make all sorts of things, including twig baskets and hangers, fences, even furniture!Who else uses sticks and twigs? You can collect a few twigs and create one of the projects I’ll share in Appendix when you get home  if you are up for a challenge. You can also give your kids a piece of paper, glue and colors to create a simple collage of the twigs and color them.Tell your child about annual rings. Even better if you can find a stump and show them. Explain that each year, a tree forms new cells, arranged in circles called annual rings or annual growth rings. They are the circular rings found on the end of a log or tree stump. Each set of rings signifies one year of growth",189
learning walks_main.docx part47," Each year of growth has two distinct growing seasons: spring and summer. In the spring, trees take advantage of all the moisture in the soil and grow bigger in diameter. The annual rings show the amount of wood produced during one growing season. We can even get information about the climate change, drought, and fires from the annual trees. Check out a picture in the Appendix to learn more!Ask your child this riddle: what or who else has annual rings?  Interesting story The Native Americans discovered the specific qualities of branches, twigs and tree roots that make them perfectly suited for specific tasks.For example, willow branches are straight and flexible. Because of these sturdy qualities, many Native American groups used willow to make their arrow shafts, brushes for painting, baskets, dream catchers, and even to make dolls and other stick figures .Note for parents: This is a great segway to tell your little ones about Native American tribes and get them interested in that historic period, learn about their lifestyle, make a teepee tent at home, and of course play! If your child expresses interest in a topic, always use this opportunity to broaden their knowledge",235
learning walks_main.docx part48," Remember that free play helps them incorporate knowledge better.Fun FactsChopsticks: Did you know that many people prefer eating their food with sticks rather than a fork? They are called chopsticks, and you might have seen it in Asian restaurants. You can use two sticks you find outside to show your child how you move chopsticks to pick up food. Also, that’s a great excuse to find 2 sticks that look alike – in thickness and length. The key to eating with chopsticks is simply to move only the top chopstick. The bottom stick is held stationary in your fingers while the top stick — controlled by your first two fingers and thumb — is moved to pinch bites of food. The scientists consider eating with chopsticks healthier than eating with forks Fire: You can use two sticks to start a fire by rubbing them against each other, but it can be very hard and takes a lot of time.Fun Facts for ParentsChopsticks & Health: Research shows that eating with chopsticks is healthier than eating with a fork because it lowers the glycemic index of the food you consume, thanks to the way it makes you eat it",240
learning walks_main.docx part49," Eating with chopsticks meant eating less at a time and eating more slowly, thus the glycemic index of the food decreases. Eating slowly is good for digestion. Additionally, eating with chopsticks can be good for the brain. Those of us brought up using regular utensils find them a fascinating challenge, sometimes quite frustrating, thus the muscles and nerves utilized in chopstick manipulation are quite different from those of most people. Thus, using  new skill  creates new neural pathways in your brain!ImaginariumAs you are collecting sticks, try to look at their shapes and imagine what they look like: maybe a grasshopper, an arrow, a little stick man, or a palm tree? Come up with a little story for each figure. If you are having a hard time with a storyline, use the following method to get your imagination going:Join two objects that you wouldn’t expect together. For example, a grasshopper if that’s what the stick looks like, and something around you. Let’s say playground",218
learning walks_main.docx part50," Now we have a grasshopper that came to the playground - what kind of adventures is he going to encounter there? Maybe meet a friend? Or have a fun day playing on the swings?Books to read“Stick Man” by Julia Donaldson  - - Adorable story about Daddy stick finding his way home. And a fun example for our Imaginarium exercise!Fun activity to continue the conversation at home:What do these little sticks look like to you? Many of them look like tiny humans, can you think of what they are feeling? Through our posture we show what we feel like in the moment – can you guess? Can you stand the same way they are standing? “Map”Walk 8            Before the walk: Today we’ll be observing the world around us through a map and introducing our kids to the fact that maps represent objects around us through symbols, and this walk requires a little bit of preparation. Make a Google map screenshot of your home and neighborhood, it needs to include your walking destination . Print it out, and make sure it’s larger scale to make it easier to interpret. *This exercise helps with both visual spatial processing and symbolic processing development.Let’s begin!Have you ever seen a real map? Let’s look at it! Ask why people use a map. Take your map and mark your favorite places on your route, e.g",300
learning walks_main.docx part51,", a playground, a duck pond, a coffee shop, frozen yogurt, a construction site. You can mark them simply with crosses or make a simple drawing to represent what it means – this way we help kids understand that a symbol on a map represents a certain meaning. Help your child find your home. As you walk, take a picture of each site on your way. Why does a picture look so different from the map? You can show your child a Live view or Street view on Google map. To do it, press on a location, a small photo will appear in the bottom left of the screen, press on it . Explain that these maps are so detailed because they are actual photos taken through cars driving around and drones. To get images of difficult terrain, they sometimes attach a camera to a trolley or a snowmobile or a tricycle or even a camel",175
learning walks_main.docx part52," Many years ago, most maps were drawn by professional artists.A fun activity for today is a quest. While your child doesn’t look, hide a snack or a toy somewhere in a park or at the playground. Then take a piece of chalk and draw a very basic outline of the place around you on the ground. For example, mark the swing set, a slide, entrance or some trees if you are at the playground and mark the place where the “treasure” is hidden. Your child’s task is to find it based on the map. If they are interested, you can take turns, and they can hide a toy for you to find it.When you make it back home, outline your route on your map with a dotted line",156
learning walks_main.docx part53," Let your child connect the original signs on your map and show you how you moved. If you took a different route back, you can see what your “loop” looks like – is it round, oval, square shaped?Another fun activity is mapping your neighborhood or street yourself, but I would suggest to do it on a different day. Simply use crayons and paper , make a simple drawing of your house first, and go from there.When you make it home and if your kids are still interested in the subject , you can map your home, have them map their own room or a backyard. You can put together a treasure hunt for them. To do it, just hide a “treasure” somewhere and map the area. You can also draw signs on multiple pieces of paper and hide the next hint on every step: draw a table on a piece of paper and give it to your child, on that table they will find the next paper with a drawing of their bed, on the bed their will be a drawing of his shoes, and at the end of the way they will find their prize.You can show your little ones how to make primitive map symbols",240
learning walks_main.docx part54," See an example in Appendix. Interesting story In the mid-19th century, there was a cholera outbreak in London, and someone made a map of cholera cases and was able to find a specific public water pump that was the culprit, and the spread of sickness was stopped. You see, maps can be used for very different reasons!Fun FactsMap Mistakes: In the past, cartographers  had limited resources and unsurprisingly made mistakes when drawing maps. For example the first map of Africa  featured the massive Mountains of Kong. The only problem was they didn't exist. Even so, the Mountains of Kong would be placed on maps of Africa for the next 100 years.Different Maps: For many years the world map didn’t look the way we see it now. For example Mediterranean sea was considered to be the center of the map , America wasn’t on the map as it was discovered laterFun Facts for ParentsMap censorship: Map censorship is a common historic practice that actually still exists today",206
learning walks_main.docx part55," For example, you won't find military bases on most maps, and in the U.S., nuclear waste dumps often don't appear on the geological survey maps, which experts believe is just out of sheer embarrassment.Paper towns: Modern mapmakers often incorporate fake towns into their maps on purpose. These are known as “paper towns”, “phantom settlements,” or  “bunnies.” The thinking behind this is avoiding plagiarism : if the cartographer comes across another map with the same fake town, they know it is a copy!North: North may be at the top of maps today, but that wasn’t always the case. During the middle ages, most Western maps put east at the top instead. In Latin, the word for east is oriens, so to hold the map correctly, you had to “orient” it—that is, make sure East was on top",192
learning walks_main.docx part56," This is where we get the word “orientation” today.ImaginariumWe know that Earth, our planet, is round. But for many years people believed that it is flat. How do you think it’s possible to know what the continents look like? . What do you think would happen if Earth was flat after all? We likely wouldn’t be able to fly planes in both directions, ships would “fall off” the edge, sun would rise and set at the same time everywhere in all countries…Experiment If you are able to watch a ship sail off to sea, watch its mast and flag as it fades off into the distance, you will likely notice that it does not ""fade off into the distance"" at all; instead, you will see its mast and flag appear to slowly sink. The ship sailed beyond the point at which you would see it. Just to be sure, bring a pair of binoculars with you so that you can see even farther off into the distance.It's as if you're watching it go over to the other side of a hill",228
learning walks_main.docx part57," This can only be explained by a sphere-shaped planet.Fun activity to continue the conversation at home:Another fun activity that has to do with maps is creating your own map of a magic country. If your kids are interested in let’s say Peppa Pig, you can create the map of Peppa world, or a map of Arendelle if they are into Frozen, a map of Oz world was something I enjoyed even more than my daughter. Here is how you do it:Pick your theme: If they don’t have favorite characters from books or cartoons yet, you can even create your own magic kingdom ! Mark a few main points, connect them with roads, and make some tree/town/village/other important landmarks markings. You can draw your landmarks with crayons or paints, use paper or tin foil to create some 3D towns if you’d like, or tinfoil to make an ice skating rink, even glue some flowers and other natural materials to show woods, meadows etc.Name the country and develop main characters. What are the main villages/towns and roads? Is there a magic forest of gnomes or bandits? Are there kind fairies that live by a fairy well? How do people travel?  Most kids have a blast with this activity. Your kids can use the map to play as well – get their little toys or lego characters to travel the roads, cross the rivers, and get lost ☺Books to read“How I Became a Pirate” by Melinda Long  -In the story, a young boy helps a band of pirates bury some treasure in his backyard",338
learning walks_main.docx part58," He then draws up a map of his backyard to show the pirates where the treasure is buried. Kids between 5 and 7 love it and it introduces them to the idea of mapping everything around them and treasure hunt related play.“What the Ladybug Heard” by Julia Donaldson and Lydia Monks – Another cure book about thieves planning on a farm , one of those books that kids ask to read over and over again, and you can’t get the rhymes out of your head for days.“Rain” Walk 9            Before the walk: As the name of this walk suggests, it would make more sense to talk about the rain when it’s actually raining outside, but preferably the rain is light enough and allows you to walk. We’ll touch base on a few more complex things such as the water cycle on our planet, rainbows, ripples in the puddles and your kids might ask you questions. Answer their “why’s” and “how’s” and follow the path of their inquiry, but make sure to only focus on a few subjects at a time and provide them with simple explanations and show them interesting facts rather than confusing them with complicated details! Posing interesting questions that make them wonder and pointing out unexpected things does much more for their developing minds and growing curiosity than giving them a lecture filled with details and information that likely won’t be absorbed or retained.Let’s begin!Look into the window before heading out for your walk. Ask what the weather's like today",331
learning walks_main.docx part59," Does it look like it’s raining? Try to predict if it’s going to rain for a long time or not . What does it mean “to rain”? Where does the rain come from? Does the water come from the sky in different forms? .Before you head out for your walk, place an empty glass or a bottle somewhere out in the open. Explain to your child that this way you can measure how much water the rain brought. Most kids are very excited for the results of this little experiment.Do you think this is “good weather” or “bad weather”? Why? Explain that rainy weather is often referred to as “bad weather”, but also there are plenty of people and animals who enjoy the rain. Can you think about what’s good about it? For example, when it’s very hot outside and the rain comes, doesn’t it feel good? Have you ever seen farm animals playing in the rain?Remind your child about one of our previous walks when we talked about living and nonliving things. What do living things need to survive that rain can give them? If they have questions, you can explain that rainfall is very important for the survival of plants and animals",263
learning walks_main.docx part60," It brings fresh water to the earth's surface. If we have less rain, there is water scarcity and in some cases it can even cause the drought when grass is yellow and animals lack food. What about the opposite – when there is too much rain? What would happen? Maybe floods that cause harm to buildings and people, or animals’ dens and habitat.Note for parents: Understanding that certain things  can bring BOTH good and bad is a great way to help kids develop critical thinking. Most of the situations in our life can be good and bad at once, and being able to look at them from several different angles is a great ability to develop. You can implement this exercise into other areas of life and look for pros and cons of other things, e.g., the zoo , pandemic , even going or not going to a store",172
learning walks_main.docx part61," Now ask your child to smell the air. What does it smell like? We know that water itself doesn’t have a smell, but the rain does – why is it? . Ask your child to look up at the sky. Remember we talked about the clouds? Do these clouds look different than the ones we see up in the sky on a sunny day?Now ask how they think water gets to the clouds? It’s raining right now, so the water leaves the clouds and hits the ground – how does it get back?  Note for parents: Just pose the question so that they would start wondering about this unless they ask further questions. Remember, we aren’t trying to make it a lecture! If they are asking questions, younger kids  use the “tiny humans method” and explain that rain is like a million of tiny humans who get heavy and parachute from the sky like droplets. Then the sun comes out and they get dry and it makes them much lighter, so they break away from the puddle and go into the air back into a cloud, and then come back down to the ground. For kids 4+ explain that when a puddle dries up, tiny particles of water break away from the liquid in the puddle and go into the air. The tiny water particles are called water molecules",285
learning walks_main.docx part62," Water on the ground goes into the air, becomes part of a cloud, and comes back down to Earth as rain.Now make sure to look at the puddles. Kids of all ages LOVE exploring the puddles. Let them look at them, jump in a puddle, look at their reflection. Ask if it looks different from their shadow. How is it different? Can it move when you are still? Why could that be?Look at the ripples left by every droplet that hits a puddle. Suggest throwing other things in a puddle, like sticks, little rocks or egg corns. Point out that the ripples are all of the same shape, regardless of the objects you throw in – round shaped, not square, triangle, or heart shaped!To explain this to our kids, we can use the “tiny human” metaphor again",179
learning walks_main.docx part63," The water in the puddle consists of tiny humans who are all the same size and move with the same speed, so when something hits the puddle, they all hold hands and run away with the same speed, that’s why the ripples are shaped like circles!Look at the multicolored reflections in the puddles. If your child is asking why, explain it’s caused by the oil from the cars.Ask where they think the puddles go after the rain. What does it mean “to fry off”? Where do they go? Do they all get absorbed into the ground? Why is it that dirt or sand don’t dry off, but water does? If a rainbow comes your way, draw attention to the beautiful colors in the sky. Respect the wonder of a child’s first observation by waiting to offer explanations until the children ask ""Why?"" You might answer, ""When sunlight moves through falling rain, we see all the colors of sunlight. Did you know all the rainbow colors are inside sunlight?"" If the child is intrigued, try to make your own rainbow – see the “Experiment” sections for the options.  For kids that keep asking questions, explain that rainbows are formed when light shines through water, like when the sun shines through the rain. This light is bent and reflected, like a reflection in a mirror, and this causes all of the amazing colors that you see",298
learning walks_main.docx part64," Rainbows normally appear from the rain, but they can happen wherever light is being bent inside of water droplets. We can see rainbows in mist, fog, spray, sprinkler water, and dew.Interesting story Once upon a time, it started to rain in a small village in Honduras , yet instead of simple rain falling from the sky,,, it rained fish! People were grateful and thought it was a blessing. Now we know though that the rain of fish has been reported in Australia, Mexico, India, Ethiopia, Alaska, and other places. And not just fish! Any number of small animals have been reported falling from the sky, including frogs, ants, small fish and worms. Scientists believe that small frogs or fishes are picked up by a powerful whirlwind, tornado or just updraft, and can be frozen into hail in the cold air above earth's surface.When tornadoes traverse over water, they become known as waterspouts. Waterspouts suck up lake or ocean water along with the fish, eels or other creatures swimming in the water",222
learning walks_main.docx part65," According to Bill Evans' meteorology book  titled It's Raining Fish and Spiders, creatures such as these fall from the sky about forty times a year!Fun FactsCats and dogs: The phrase “It’s raining cats and dogs” has several origin theories. One is that when houses used to have thatched roofs, pets and other small animals like squirrels or groundhogs, used to nestle into the straw for warmth. When it would rain, however, the straw would become slippery and the animals would slide out, creating the illusion that it was literally raining cats and dogs.Rain and electricity: Rain is also used to create electricity. We call this hydroelectricity or hydropower.Does everyone see the same rainbow? No two people see the same exact thing when they look at a rainbow. Since it all depends on how the light is being bent and reflected back to you, everyone sees something different. Someone who looks like they are standing right underneath it to you will actually be looking at the rainbow and seeing it from far away",219
learning walks_main.docx part66,"Where do rainbows end? Actually, there is no end to a rainbow. Even though they look like an arch to us, or an upside down letter U, rainbows are actually full circles. We only see some of the circle because we usually view the rainbow from the ground.Fun Facts for ParentsCloud Harp: Do you think clouds can sing? Nicholas Reeves, a University of Quebec professor of architecture developed an unusual kind of instrument called a Cloud Harp, which has been programmed to respond musically to clouds passing overhead. It operates through a large laser beam and a telescope while the clouds above act as sort of a CD. The beam “reads” how high the clouds are, their speed, temperature, lightness and so on. When it was originally installed in Canada, people would bring their sleeping bags and listen to the cloud music all night long . See this link for more information about the  in Pittsburgh",187
learning walks_main.docx part67," Also, watch this !ImaginariumWhat do you think would happen to our planet if it rained for 2 months straight? Would everything get flooded? Maybe people would have to relocate, especially from places that are too close to water? Would we need to build more boats? Or maybe even moved under the ground? What about if it rained even longer?And now imagine the opposite situation – what if the rain would just stop? Would we live in a desert? What would happen to plants and wild animals? What would people need to do to help?Experiment If you happen to see a rainbow, it will double the dun to make one yourselves! You can use a prism, an old CD, or even a glass of water. You can also use a prism. Kids love this “trick” and often will try repeating it using different light sources and different angles.  Here are a few options depending on resources you have at hand!To make your own rainbow with a mirror, place a small mirror inside a clear glass or jar. Next, fill the glass with water, then place it on a table in a dark room or simply hold it. With the lights off, shine a flashlight onto the mirror to create your personal indoor rainbow.For a CD rainbow, simply hold a CD in the sunshine. Or if it's a cloudy day, turn  the lights off and shine your flashlight at the CD",301
learning walks_main.docx part68," Hold a piece of white paper so that the light reflecting off the CD would shine onto the paper. Voila! Just turn on a water hose or sprinklers on a sunny day and stand with your back against the sun – you might just catch a rainbow or two.If those options aren’t available, you can make a rainbow with a glass of water and a flashlight . Fill the glass almost to the top with water.If you are using sunlight, place the glass so that it is half on and half off the edge of a table, and so that the sun shines directly through the water, onto a sheet of white paper on the floor.Adjust the paper and the glass until a rainbow forms on the paper.If you are using a flashlight, place the glass of water on the white piece of paper, and move the flashlight around until you see a rainbow on your piece of paper!A few more activities for a rainy dayFind your favorite puddle and decorate it with flowers and leaves! I can’t wait to do it in fall with multicolored foliage leaves, but get inspired with our examples in Appendix!Bring some kitchenware like measuring cups to make a puddle soup!Listen to the rain. Notice how it can make different sounds as it hits different places ",265
learning walks_main.docx part69," Try to find descriptions for the sounds!Make some paper boats and let them sail in a local puddleJump in some puddles of course!Measure several puddles against each other with a stick - which one is deeper? Or measure the length with your feet - how many rain boots long is this puddle? How about that one? Also a great way to introduce measurements and experience them Fill two dark bowls with water: one with regular water, and one with rain water, and let them dry. See the difference .Mark an empty plastic bottle with 1-2-5-10 inches and leave it outside in the morning to see how much rain water you will be able to collect through the day!Find a puddle with a cool shape Take a photo of your reflection in a puddle! Take a picture of your house in a puddle or of a cool building nearby! What other cool reflections can you find? Do they go away with the ripples? Where do the ripples come from .Activities to continue the conversation at home The Man Who Rode the Thunder Do you think a person is able to fly through a storm cloud? In reality, it’s very dangerous, even airplanes avoid them by flying above or underneath. There is one man who is able to fly through a storm cloud and survive! His name is William Rankin, an American pilot. His airplane malfunctioned flying over a huge storm cloud and the only option he had was to catapult himself out of it. Watch   to learn more about William .Books to read“Come on, Rain” by Karen Hesse - The language of ""Come on Rain"" is as colorful and vibrant as the beautiful artwork",348
learning walks_main.docx part70,"“Cloudette” by Tom Lichtenheld - Read out loud on YouTube linkI have recommended this book for our “Sky” walk, but it would be a good fit for this walk as well – kids will be happy to come back to the book or the Read out loud!A cute book about a little cloud called Cloudette. Sometimes being small has its advantages.A poem by Christina Rossetti to read with your kids. Do they think clouds are prettier than ships and boats? What about bridges – are they just pretty as the rainbow, a nature’s bridge? The RainbowBoats sail on the rivers,And ships sail on the seas;But clouds that sail across the skyAre prettier than these.There are bridges on the rivers,As pretty as you please;But the bow that bridges heaven,And overtops the trees,And builds a road from earth to sky,Is prettier far than these.“Sun” Walk 10            Before the walk: Today we’ll be observing the Sun. This subject is connected with other topics we’ve talked about, such as sky, shadows, and rain. If things you’ve talked about come up again, that’s great – repeat, ask more questions, and let your child’s curiosity grow! Also, if you didn’t have a chance to do some of the experiments from other walks, e",305
learning walks_main.docx part71,"g., sun dial or play with your shadows, they will fit right into this walk as well.Let’s begin!Let’s talk about the Sun! We can’t really watch it closely though - always remember this: never look up at the Sun directly, especially on a very bright day, it can hurt your eyes.Tell your child that the Sun that we see in the sky is actually a star. But we see the Sun during the day while we only see the stars at night. Why do you think this could be? Why can’t we see the stars during the day? To help your child come up with an answer, use the flashlight you brought with you . Light it up and ask if they can see the light clearly, shine it on the surfaces around you. It would be great to repeat this experiment at dusk or even when it gets much darker outside to demonstrate the difference",188
learning walks_main.docx part72," Or you can simply use your flashlight in a dark room as an alternative. Ask them again why you think this happens.If you have a chance to come out at night and look at the stars, your kid will likely ask why they seem so small compared to the Sun. Explain that the Sun is the closest star to Earth, so that’s why it looks so big, and other stars that are further away look small.During your walk, point out where the Sun is in the sky. Draw their attention to the Sun moving across the sky several times. You can repeat the shadow play from our walk on Shadows . We see the sun in one part of the sky in the morning, and another part of the sky in the afternoon",149
learning walks_main.docx part73," Then at night, we don’t see it at all. Is it moving? Are we moving? Where does it go at night? There are very bright sunny days, but on some other days you can’t really see the Sun and the sky seems gray. Where do you think the Sun goes? And why is it light even when we can’t see the Sun? What does the Sun give nature on our planet? Why do we need it? We’ve talked about it in the past, and they might remember that the Sun helps living things because it gives them light and warmth they need to live. What other useful things can it do for us? Maybe warm up the water to allow us to swim and play, or help things dry. But can it cause damage too? What are bad things about a sunny day? .If it’s a sunny day and you bring a mirror, catch some sun rays in it and play with sun reflections, teach your child how to do it.Remember our walk about shadows: look at the objects around you and see if they have shadows, point out how sometimes they can “hide” because the sun is hiding or just covered by other bigger objects.Interesting story The Sun has a huge influence on Earth and because of this, many ancient cultures saw the Sun as some type of god",282
learning walks_main.docx part74," For example, the ancient Greeks thought of the sun as a handsome god named Helios. He was the son of the Titan Hyperion and the Titaness Theia. Helios was also the brother of Selene, the goddess of the Moon, and Eos, the goddess of the dawn. The Ancient Egyptians had a god called Ra, and Aztecs had a Sun god named Tonatiuh. Fun FactsCan Sun shine all day? In Norway and some other Nordic countries at a certain time of the year the Sun shines all day and all night for three and a half months. How do they get any sleep I wonder?We rotate around the Sun Now we know that the Sun is the center of our Solar system and planets rotate around the Sun. But many, many years ago, people believed that the Earth didn’t move and that the Sun rotates around the Earth.The Sun is very big! If the Sun were the size of a beach ball then Jupiter would be the size of a golf ball and the Earth would be as small as a pea",225
learning walks_main.docx part75," Now that makes it a bit easier to picture.Sunlight is super fast: It only takes the Sunlight 8 minutes to reach the Earth. People think that nothing travels as fast as the light. You can set your phone timer for 8 minutes and see how long it takes for the sunlight to “be born”, leave the Sun and reach you. The light we see from the stars takes years to reach us because they are much further from us than the Sun. Most likely this light was “born” even before you were born!ImaginariumThere are a lot of things we do during the day because of the light, such as walking, playing outside, working, reading. If we need to do something at night, we need artificial light, such as electricity, to help us. What if we didn’t have any electric lights? Would the things we do at night be different? What could we do instead? Maybe use candles, or come up with a different way to preserve sunlight for the dark time? How would people’s jobs change? Experiment How big do you think the sun is? It’s huge ",239
learning walks_main.docx part76," Why do you think it might be that the sun looks as big as a coin but it really is humongous? Let your child try and answer first. Then conduct an easy experiment with a car or a tree. Come close to an object and see how big it is, try to measure it against your own body. Then when you move further away, turn back several times and keep measuring until it looks tiny and you can “measure it with your fingers”. Explain that the reason for this is the further we get from something – the smaller it seems. If your child has ever been on a plane, remind them about the experience and try to spot one in the sky – see how small it looks from here. Then explain that the Sun really is huge, but it’s extremely far from us, much further than the Moon, or the clouds. The further an object gets from us, the smaller it seems",189
learning walks_main.docx part77," If you can, make an empirical experiment – show them a beach ball for the Sun and a pea for Earth, it’s much easier to understand and grasp a concept when they see things and experience them vs, just pointing it out.Fun ideas to continue the conversation at home:Make your own sun catchersIf you have time, you can create your own sun catchers. Here is a relatively easy option to make one with melted beads: , you can find another option made with simple white glue and food coloring in the Appendix.Make your own raisinsAnd if you have some grapes and would like to give your little ones a lesson in patience, another fun experiment is… making grapes. Here is an example: Books to read“To Be Like the Sun” by Susan Marie Swanson - YouTube read-out-loud linkCutest book ever about the life cycle of seeds & growing! Simple yet thought provoking for kids... or anyone who loves sunflowers!“Bees” Walk 11            Before the walk: In some of our previous walks we talked about living and nonliving, so now it’s about time to start observing some of those living beings! This walk would be better suited for a sunny day",266
learning walks_main.docx part78," If you have a meadow, some flowers, or maybe a linden tree in blossom in your vicinity where you’ve seen bees buzzing, that would be a perfect day to visit it and talk about bees, honey, and even touch base on pollination. This walk is full of facts and information, as always, don't’ try to talk about everything at once – pay attention to things that your child is more interested in and stop when the focus of attention is gone. You can always watch the bees again and talk about other facts and stories later, but make sure to observe and play the game  that I offer in this walk – through active games we not only help their gross motor skills development, but also help them integrate the information more through using different parts of their brains!Let’s begin!Ask your child what are bees: animals? Birds? Many kids at 3+ already know that bees are insects. Ask what other insects they can think of. Try to find a bee. Point out that bees are much harder to observe closely than, for instance, butterflies or ladybugs and ask why they think that is . You must have heard the term “busy as a bee”? Bees are very hard working. The worker bees go from one flower to another, collecting nectar, sweet juice produced by flowers",275
learning walks_main.docx part79," In one collection trip, a bee visits 50 to 100 flowers! Ask your child what product is produced by bees. Most kids at 3+ will know it’s honey, if not, tell them, and it would be great to have some on hand. But bees also indirectly produce one-third of the common fruits and vegetables we eat, via pollination! For example, plants like avocado trees, almonds, celery, and coffee depend on bees to grow! The bee will normally collect its weight in pollen flying from one flower to another. When they have a full load, they fly back to the hive, a big home where many bees live. There, they pass it on through their mouths to other bees who chew it for about half an hour. It's passed from bee to bee until it gradually becomes honey. Bees build honeycomb cells, which are like tiny jars made of wax, in their hive to store the nectar. Bees in the hive fan their wings over the honeycomb to evaporate most of the water from the nectar, and then cover the cells with wax to keep honey clean",236
learning walks_main.docx part80,"Ask your child what animals like honey. Bears, of course, love honey for its high sugar content as it helps them build up fat to prepare for hibernation, and try to discuss together how they can get it. Would the bees be willing to share?Now point out the buzzing that bees make. Ask your child what they think it is. Many kids assume that’s how bees talk to each other. Before explaining that it comes from the wings, pick up a stick, move it quickly up and down and notice the swooshing sound– for some kids that’s enough to make a conclusion about the bees as well, if not – explain that they flap their wings extremely quickly to stay in one spot in the air, and that’s what makes the sound!On your way back :Bees are man’s best friend as they provide us with honey and also help in pollination. They are an important part of our world, as they help to pollinate plants that create the food that we eat .But bee numbers have been dropping, so it’s important to help them by not touching them ",232
learning walks_main.docx part81," To help bees we can plant different types of flowers and fruit/veggie plants, and use mostly organic produce.Fun activityObserve the flowersTry to find a meadow or a place where you can see a few bees and different types of plants. Try to notice  how many bees you see on different types of flowers and plants. For instance, if you are around clover flowers or linden trees, those are very likely to attract a lot of bees. Discuss why that could be the case.Build your own bee hiveWith all the talking, your child might be losing interest, and it’s important to let them run around and play as play is the best way of learning at this age. Encourage them to pretend to be bees and set up a tent or hive, right outside under a tree or if you are back home right in the living room. The kids can buzz around collecting pollen from flowers before bringing the pollen back to the hive to make honey",202
learning walks_main.docx part82," Interesting story Bees have a fascinating life! Most bees live together in colonies. A colony has a queen, many worker bees  and male bees. Each worker bee has a job to do. The worker bees are divided into different groups each with its own task. Some bees fan the hive to keep it cool while others guard it against other insects. Some worker bees produce the wax which is used to build the combs.Male bees are called drones. They live in the colony in spring and summer but are kicked out before winter",107
